NEE;Descrição do Item;Tamanho
BR1082210;Coturno de lona, preta (par);38
BR1082212;Coturno de lona, preta (par);39
BR1004057;Coturno de lona, preta (par);40
BR1004058;Coturno de lona, preta (par);41
BR1004059;Coturno de lona, preta (par);42
BR1004060;Coturno de lona, preta (par);43
BR1082225;Coturno de lona, preta (par);44
BR1082226;Coturno de lona, preta (par);45
BR1004063;Coturno de lona, preta (par);46
BR1032463;Coturno de três fivelas (par);33
BR1032464;Coturno de três fivelas (par);34
BR1032465;Coturno de três fivelas (par);35
BR1019351;Coturno de três fivelas (par);36
BR1300024;Coturno de três fivelas (par);37
BR1004073;Coturno de três fivelas (par);38
BR1004074;Coturno de três fivelas (par);39
BR1004075;Coturno de três fivelas (par);40
BR1004076;Coturno de três fivelas (par);41
BR1018138;Coturno de três fivelas (par);42
BR1004079;Coturno de três fivelas (par);43
BR1004080;Coturno de três fivelas (par);44
BR1004081;Coturno de três fivelas (par);45
BR1004082;Coturno de três fivelas (par);46
;Data do preenchimento;                                -             -                                                                                                                                                                                                                
BR1003945;Distintintivo Qualificação Militar Corneteiro Metálico;Único
BR1038429;Distintivo aluno do Curso de formação de Sgt de carreira, plastificado;ÚNICO
BR1003916;Distintivo da Arma de Artilharia, metálico;ÚNICO
BR1003914;Distintivo da Arma de Cavalaria, metálico;ÚNICO
BR1003920;Distintivo da Arma de Comunicações, metálico;ÚNICO
BR1003913;Distintivo da Arma de Infantaria, metálico;ÚNICO
BR1305023;Distintivo da Arma/QM de Cavalaria, plastificado;ÚNICO
BR1305026;Distintivo da Arma/QM de Comunicações, plastificado;ÚNICO
BR1305025;Distintivo da Arma/QM de Engenharia, plastificado;ÚNICO
BR1305022;Distintivo da Arma/QM de Infantaria, plastificado;ÚNICO
BR1009599;Distintivo de aluno, bordado, ESSEx/ESAEx;ÚNICO
BR1301777;Distintivo de aluno, CFS, bordado;ÚNICO
BR1300747;Distintivo de aluno, plastificado, ESSEx/ESAEx;ÚNICO
BR1003918;Distintivo de Arma de Engenharia, metálico;ÚNICO
BR1305024;Distintivo de Arma/QM de Artilharia, plastificado;ÚNICO
BR0000094;Distintivo de OM/ Distintivo Histórico;ÚNICO
BR1003922;Distintivo de Quadro de Material Bélico, metálico;ÚNICO
BR1305027;Distintivo de Quadro/QM de Material Bélico, plastificado;ÚNICO
BR1003921;Distintivo de Qualificação Militar de Com, metálico;ÚNICO
BR1301776;Distintivo de reserva, metálico;ÚNICO
BR1018783;Distintivo de reserva, plastificado;ÚNICO
BR1006834;Distintivo de Serviço de Intendência, metálico (par);ÚNICO
BR1305041;Distintivo de Serviço/QM de Intendência (direito) plastificado;ÚNICO
BR1009315;Distintivo do CFC, metálico;ÚNICO
BR1300766;Distintivo do CFC, plastificado;ÚNICO
BR1300767;Distintivo do Curso de formação de Sgt temporário, plastificado;ÚNICO
BR1038442;Distintivo Integrantes Comandos Fronteiras, plastificado;ÚNICO
BR0000095;Distintivo Metálico p/ Ex Integrantes de Missão de Paz;ÚNICO
BR0000098;Distintivo Metálico Prateado do Estágio de Motociclista;ÚNICO
BR1009245;Distintivo OM FAR, bordado;ÚNICO
BR1300464;Distintivo OM FAR, plastificado;ÚNICO
BR1003959;Distintivo plastificado de tiro-de-guerra;ÚNICO
BR0000099;Distintivo Plástificado do Estágio de Motociclista;ÚNICO
BR0000096;Distintivo Plástificado p/ Ex Integrantes de Missão de Paz;ÚNICO
BR1305060;Distintivo Qualificação Militar Corneteiro, plastificado.;ÚNICO
BR1034803;Distintivo Serviço de Saúde Metálico;Único
BR1305054;Distintivo Serviço de Saúde Plastificado;Único
BR1034600;Distintivo Serviço/QM Intendência (esquerdo) plastificado;ÚNICO
BR1301365;Distintivo símbolo do Exército;ÚNICO
BR1301922;Espora de metal, dourada;ÚNICO
BR1301923;Espora de metal, prateada;ÚNICO
BR1300686;Fivela de metal, dourada;ÚNICO
BR1300862;Fivela preta;ÚNICO
BR1302102;Fronha azul hospital;ÚNICO
BR1302220;Fronha branca;ÚNICO
BR1084996;Fronha branca tipo II com brazão do Exército;ÚNICO
BR1003479;Gorro com pala, camuflado;54
BR1003480;Gorro com pala, camuflado;55
BR1003481;Gorro com pala, camuflado;56
BR1003482;Gorro com pala, camuflado;57
BR1003483;Gorro com pala, camuflado;58
BR1003484;Gorro com pala, camuflado;59
BR1003485;Gorro com pala, camuflado;60
BR1003486;Gorro com pala, camuflado;61
BR1003487;Gorro com pala, camuflado;62
BR1300856;Gorro para pessoal de cozinha;54
BR1004158;Gorro para pessoal de cozinha;55
BR1004159;Gorro para pessoal de cozinha;56
BR1004160;Gorro para pessoal de cozinha;57
BR1004161;Gorro para pessoal de cozinha;58
BR1004162;Gorro para pessoal de cozinha;59
BR1004163;Gorro para pessoal de cozinha;60
BR1004164;Gorro para pessoal de cozinha;61
BR1004165;Gorro para pessoal de cozinha;62
BR1302272;Gorro sem pala, branco;54
BR1034135;Gorro sem pala, branco;55
BR1003752;Gorro sem pala, branco;56
BR1034136;Gorro sem pala, branco;57
BR1003753;Gorro sem pala, branco;58
BR1034137;Gorro sem pala, branco;59
BR1003754;Gorro sem pala, branco;60
BR1034139;Gorro sem pala, branco;61
BR1003755;Gorro sem pala, branco;62
BR1300861;Gravata horizontal, preta;ÚNICO
BR1302015;Gravata vertical, bege;ÚNICO
BR1093160;INSÍGNIA CPOR/NPOR;ÚNICO
BR1059239;INSÍGNIA CPOR/NPOR PLASTIFICADA;ÚNICO
BR1057053;Insígnia CPOR/NPOR, (platina);ÚNICO
BR1011822;Insígnia de cabo corneteiro bordada;ÚNICO
BR0000100;Insígnia de cabo Saúde bordada p/ Véstia;ÚNICO
BR1011835;Insígnia de cabo, Artilharia bordada;ÚNICO
BR1057055;Insígnia de cabo, bordada, cor verde-oliva;ÚNICO
BR1300027;Insígnia de cabo, bordada, uniforme de passeio, sem QM;ÚNICO
BR1011837;Insígnia de cabo, Cavalaria bordada;ÚNICO
BR1011821;Insígnia de cabo, Clarim bordada;ÚNICO
BR1011827;Insígnia de cabo, Comunicações bordada;ÚNICO
BR1011828;Insígnia de cabo, Engenharia bordada;ÚNICO
BR1011839;Insígnia de cabo, Infantaria bordada;ÚNICO
BR1011823;Insígnia de cabo, Intendência bordada (par);ÚNICO
BR1011832;Insígnia de cabo, Material Bélico bordada;ÚNICO
BR1300898;Insígnia de cabo, metálica;ÚNICO
BR1011820;Insígnia de cabo, Músico bordada;ÚNICO
BR1305018;Insígnia de cabo, plastificada;ÚNICO
BR1018774;Insígnia de cabo, Saúde bordada;ÚNICO
BR1300031;Insígnia de taifeiro 1ª Classe, bordada;ÚNICO
BR1003686;Insígnia de taifeiro 1ª Classe, metálica;ÚNICO
BR1305020;Insígnia de taifeiro 1ª Classe, plastificada;ÚNICO
BR1300033;Insígnia de taifeiro 2ª Classe, bordada;ÚNICO
BR1003687;Insígnia de taifeiro 2ª Classe, metálica;ÚNICO
BR1305021;Insígnia de taifeiro 2ª Classe, plastificada;ÚNICO
BR1003684;Insígnia de taifeiro-mor, bordada;ÚNICO
BR1300036;Insígnia de taifeiro-mor, metálica;ÚNICO
BR1305019;Insígnia de taifeiro-mor, plastificada;ÚNICO
BR1091825;Insíguia de SD NB/EP plastificada;ÚNICO
BR1032157;Japona de campanha;PP
BR1302515;Japona de campanha;P
BR1003680;Japona de campanha;M
BR1003681;Japona de campanha;G
BR1003682;Japona de campanha;GG
BR1033923;Japona de passeio;PP
BR1302571;Japona de passeio;P
BR1003676;Japona de passeio;M
BR1003678;Japona de passeio;G
BR1003679;Japona de passeio;GG
BR1300859;Jaqueta de copeiro, branca;PP
BR1018753;Jaqueta de copeiro, branca;P
BR1018754;Jaqueta de copeiro, branca;M
BR1018755;Jaqueta de copeiro, branca;G
BR1018757;Jaqueta de copeiro, branca;GG
BR1300860;Jaqueta de copeiro, vinho;PP
BR1003795;Jaqueta de copeiro, vinho;P
BR1003796;Jaqueta de copeiro, vinho;M
BR1003797;Jaqueta de copeiro, vinho;G
BR1003798;Jaqueta de copeiro, vinho;GG
BR1300874;Jaqueta verde-oliva;PP
BR1004201;Jaqueta verde-oliva;P
BR1004202;Jaqueta verde-oliva;M
BR1004203;Jaqueta verde-oliva;G
BR1019343;Jaqueta verde-oliva;GG
BR1019344;Jaqueta verde-oliva;XG
BR1019345;Jaqueta verde-oliva;XXG
BR1084994;Lençol azul de hospital com brazão do Exército;ÚNICO
BR1300166;Lençol azul hospital;ÚNICO
BR1302605;Lençol branco;ÚNICO
BR1084993;Lençol branco tipo II com brazão do Exército;ÚNICO
BR1302951;Luva branca de suedine (par);P
BR1003750;Luva branca de suedine (par);M
BR1003751;Luva branca de suedine (par);G
BR1300171;Luva de couro, branca (par);P
BR1305118;Luva de couro, branca (par);M
BR1305117;Luva de couro, branca (par);G
BR1034720;Luva de couro, branca (par);GG
BR1302945;Luva de lã, verde-oliva (par);P
BR1003714;Luva de lã, verde-oliva (par);M
BR1003715;Luva de lã, verde-oliva (par);G
BR1300870;Luva de motociclista, branca (par);P
BR1004205;Luva de motociclista, branca (par);M
BR1004206;Luva de motociclista, branca (par);G
BR1004207;Luva de motociclista, preta (par);P
BR1004208;Luva de motociclista, preta (par);M
BR1004209;Luva de motociclista, preta (par);G
BR1032156;Macacão de manutenção;PP
BR1304300;Macacão de manutenção;P
BR1003706;Macacão de manutenção;M
BR1003707;Macacão de manutenção;G
BR1003708;Macacão de manutenção;GG
BR1034707;Macacão de motociclista;PP
BR1300895;Macacão de motociclista;P
BR1003821;Macacão de motociclista;M
BR1003822;Macacão de motociclista;G
BR1003823;Macacão de motociclista;GG
BR1033914;Macacão para guarnição de blindado;PP
BR1300896;Macacão para guarnição de blindado;P
BR1003721;Macacão para guarnição de blindado;M
BR1003722;Macacão para guarnição de blindado;G
BR1003723;Macacão para guarnição de blindado;GG
BR1088118;Meia branca (par);ÚNICO
BR1091744;Meia de náilon, banca (par);ÚNICO
BR1091743;Meia de náilon, preta (par);ÚNICO
BR1090482;Meia verde-oliva (par);ÚNICO
BR1300893;Paletó branco;PP
BR1003701;Paletó branco;P
BR1003702;Paletó branco;M
BR1003703;Paletó branco;G
BR1003704;Paletó branco;GG
BR1003705;Paletó branco;XG
BR1300181;Paletó preto;PP
BR1004040;Paletó preto;P
BR1004041;Paletó preto;M
BR1004042;Paletó preto;G
BR1004043;Paletó preto;GG
BR1004044;Paletó preto;XG
BR1303076;Pijama para baixado;PP
BR1003716;Pijama para baixado;P
BR1003717;Pijama para baixado;M
BR1003718;Pijama para baixado;G
BR1003719;Pijama para baixado;GG
BR1303088;Porta-cassetete, branco;ÚNICO
BR1091560;Porta-cassetete, verde-oliva;ÚNICO
BR1303920;Porta-sabre, branco;ÚNICO
;Responsável pelo prenchimento do pedido;
BR1304100;Saco de roupa para lavanderia;ÚNICO
BR1011573;Sandália de borracha, preta (par);35/36
BR1304246;Sandália de borracha, preta (par);37/38
BR1003711;Sandália de borracha, preta (par);39/40
BR1003713;Sandália de borracha, preta (par);41/42
BR1003712;Sandália de borracha, preta (par);43/44
BR1011574;Sandália de borracha, preta (par);45/46
BR1011572;Sandália de borracha, preta (par);33/34
BR1019395;Sapato branco (par);36
BR1304097;Sapato branco (par);37
BR1004210;Sapato branco (par);38
BR1004211;Sapato branco (par);39
BR1004212;Sapato branco (par);40
BR1004213;Sapato branco (par);41
BR1004214;Sapato branco (par);42
BR1004215;Sapato branco (par);43
BR1004216;Sapato branco (par);44
BR1004217;Sapato branco (par);45
BR1004218;Sapato branco (par);46
BR1032473;Sapato preto (par);36
BR1032474;Sapato preto (par);37
BR1032475;Sapato preto (par);38
BR1008768;Sapato preto (par);39
BR1034721;Sapato preto (par);40
BR1034722;Sapato preto (par);41
BR1003720;Sapato preto (par);42
BR1003951;Sapato preto (par);43
BR1003478;Sapato preto (par);44
BR1009392;Sapato preto (par);45
BR1009391;Sapato preto (par);46
BR1032476;Sapato tipo tênis preto (par);33
BR1032477;Sapato tipo tênis preto (par);34
BR1032478;Sapato tipo tênis preto (par);35
BR1019350;Sapato tipo tênis preto (par);36
BR1304165;Sapato tipo tênis preto (par);37
BR1004332;Sapato tipo tênis preto (par);38
BR1004333;Sapato tipo tênis preto (par);39
BR1004334;Sapato tipo tênis preto (par);40
BR1004335;Sapato tipo tênis preto (par);41
BR1004336;Sapato tipo tênis preto (par);42
BR1004338;Sapato tipo tênis preto (par);43
BR1004339;Sapato tipo tênis preto (par);44
BR1004340;Sapato tipo tênis preto (par);45
BR1004341;Sapato tipo tênis preto (par);46
BR1034584;Simulacro de blusa com gola olímpica, branca;PP
BR1300891;Simulacro de blusa com gola olímpica, branca;P
BR1003817;Simulacro de blusa com gola olímpica, branca;M
BR1003818;Simulacro de blusa com gola olímpica, branca;G
BR1003819;Simulacro de blusa com gola olímpica, branca;GG
BR1032155;Suéter de lã, verde-oliva;PP
BR1300867;Suéter de lã, verde-oliva;P
BR1003745;Suéter de lã, verde-oliva;M
BR1003746;Suéter de lã, verde-oliva;G
BR1003747;Suéter de lã, verde-oliva;GG
BR1300941;Terno Social;PP
BR1004178;Terno Social;P
BR1004179;Terno Social;M
BR1004180;Terno Social;G
BR1004181;Terno Social;GG
BR1304176;Toalha de banho;ÚNICO
BR1304181;Toalha de rosto;ÚNICO
BR1300890;Véstia branca de manga comprida (sau/vet);PP
BR1003780;Véstia branca de manga comprida (sau/vet);P
BR1003781;Véstia branca de manga comprida (sau/vet);M
BR1003782;Véstia branca de manga comprida (sau/vet);G
BR1003783;Véstia branca de manga comprida (sau/vet);GG
BR1300889;Véstia branca esp. manga comprida(Cb/Sd aux rancho/Tf)copeiros;PP
BR1057047;Véstia branca esp. manga comprida(Cb/Sd aux rancho/Tf)copeiros;P
BR1057049;Véstia branca esp. manga comprida(Cb/Sd aux rancho/Tf)copeiros;M
BR1057046;Véstia branca esp. manga comprida(Cb/Sd aux rancho/Tf)copeiros;G
BR1003794;Véstia branca esp. manga comprida(Cb/Sd aux rancho/Tf)copeiros;GG
BR1300888;Véstia branca esp. meia-manga(Cb/Sd aux rancho/Tf)copeiros;PP
BR1003785;Véstia branca esp. meia-manga(Cb/Sd aux rancho/Tf)copeiros;P
BR1003786;Véstia branca esp. meia-manga(Cb/Sd aux rancho/Tf)copeiros;M
BR1003787;Véstia branca esp. meia-manga(Cb/Sd aux rancho/Tf)copeiros;G
BR1003788;Véstia branca esp. meia-manga(Cb/Sd aux rancho/Tf)copeiros;GG
BR1304639;Véstia branca meia-manga (Sau/Vet);PP
BR1003775;Véstia branca meia-manga (Sau/Vet);P
BR1003776;Véstia branca meia-manga (Sau/Vet);M
BR1003777;Véstia branca meia-manga (Sau/Vet);G
BR1003778;Véstia branca meia-manga (Sau/Vet);GG
